Game;;Result;Moves;Year;Event/Locale;Opening
1. Kasparov vs O Vasilchenko;;1-0;40;1973;Kiev;C03 French, Tarrasch
2. L Zaid vs Kasparov;;1-0;38;1973;URS-chT Juniors;E61 King's Indian
3. Kasparov vs S Muratkuliev;;1-0;32;1973;Baku tt U18;C77 Ruy Lopez
4. E Magerramov vs Kasparov;;0-1;35;1973;Baku;B45 Sicilian, Taimanov
5. Kengis vs Kasparov;;½-½;54;1973;URS-chT Juniors;B88 Sicilian, Fischer-Sozin Attack
6. Kasparov vs O Privorotsky;;1-0;38;1974;Azerbaijan Team Championship;B40 Sicilian
7. Rafael Sarkisov vs Kasparov;;0-1;35;1974;City Team Championship;E90 King's Indian
8. Kasparov vs Averbakh;;1-0;48;1974;Moscow clock sim;C69 Ruy Lopez, Exchange, Gligoric Variation
9. Rafael Sarkisov vs Kasparov;;0-1;39;1974;City Team Championship;B56 Sicilian
10. Viktor Gazarian vs Kasparov;;0-1;56;1974;Baku Schools Team Championship;D86 Grunfeld, Exchange
11. Kasparov vs Yurtaev;;0-1;44;1975;Baku;B39 Sicilian, Accelerated Fianchetto, Breyer Variation
12. Kasparov vs Polugaevsky;;½-½;25;1975;Leningrad;A07 King's Indian Attack
13. Vladimirov vs Kasparov;;½-½;30;1975;Vilnius;E17 Queen's Indian
14. Kasparov vs Kengis;;½-½;27;1975;Baku;B52 Sicilian, Canal-Sokolsky (Rossolimo) Attack
15. Romanishin vs Kasparov;;0-1;32;1975;Leningrad;A02 Bird's Opening
16. Kasparov vs A Sokolov;;1-0;32;1975;Baku;B67 Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7
17. Einoris vs Kasparov;;0-1;42;1975;Baku;B59 Sicilian, Boleslavsky Variation, 7.Nb3
18. Kasparov vs Smyslov;;0-1;30;1975;Team GM/Young Pioneers;C60 Ruy Lopez
19. O Pavlenko vs Kasparov;;0-1;34;1975;Baku Cup Final;E71 King's Indian, Makagonov System (5.h3)
20. Dvoirys vs Kasparov;;½-½;45;1975;Baku;B89 Sicilian
21. Karpov vs Kasparov;;1-0;45;1975;Leningrad;B92 Sicilian, Najdorf, Opocensky Variation
22. Rizvonov vs Kasparov;;0-1;37;1975;Vilnius;E17 Queen's Indian
23. Kasparov vs Yermolinsky;;0-1;48;1975;Baku;B05 Alekhine's Defense, Modern
24. Kasparov vs S Gorelov;;1-0;58;1975;Baku;C61 Ruy Lopez, Bird's Defense
25. Kasparov vs B Kantsler;;1-0;32;1975;Junior competition;A07 King's Indian Attack
Game;;Result;Moves;Year;Event/Locale;Opening
26. Korchnoi vs Kasparov;;½-½;42;1975;Palace of Pioneers sim.;E80 King's Indian, Samisch Variation
27. Kasparov vs A Guseinov;;1-0;32;1976;Moscow;B93 Sicilian, Najdorf, 6.f4
28. Kasparov vs E Magerramov;;0-1;35;1976;Moscow;C83 Ruy Lopez, Open
29. Kasparov vs D Kayumov;;1-0;36;1976;Moscow;B10 Caro-Kann
30. R Korsunsky vs Kasparov;;1-0;76;1976;Moscow;B92 Sicilian, Najdorf, Opocensky Variation
