Game;;Result;Moves;Year;Event/Locale;Opening
1. Carlsen vs S Randjelovic;;0-1;53;1999;NOR Championship Group Miniputt;A40 Queen's Pawn Game
2. B Svendsen vs Carlsen;;0-1;37;1999;NOR Championship Group Miniputt;B20 Sicilian
3. Audun Brekke Flotten vs Carlsen;;1-0;55;1999;NOR Championship Group Miniputt;A30 English, Symmetrical
4. Carlsen vs Thomas Lie;;½-½;35;1999;NOR Championship Group Miniputt;C44 King's Pawn Game
5. Christian A Elboth vs Carlsen;;0-1;31;1999;NOR Championship Group Miniputt;B50 Sicilian
6. Carlsen vs D Thomassen;;1-0;27;1999;NOR Championship Group Miniputt;A40 Queen's Pawn Game
7. Carlsen vs Thobias Kolbu;;0-1;26;1999;NOR Championship Group Miniputt;C50 Giuoco Piano
8. Carlsen vs Arne Selle;;½-½;50;1999;NOR Championship Group Miniputt;D02 Queen's Pawn Game
9. Eldbjorg Blikra Vea vs Carlsen;;0-1;31;1999;NOR Championship Group Miniputt;B30 Sicilian
10. Haakon Oksnevad vs Carlsen;;0-1;49;1999;NOR Championship Group Miniputt;B30 Sicilian
11. Carlsen vs Havard Vederhus;;0-1;29;1999;NOR Championship Group Miniputt;B18 Caro-Kann, Classical
12. Carlsen vs Kjell Tage Ohman;;0-1;64;1999;Skei Grand Prix Group B;D48 Queen's Gambit Declined Semi-Slav, Meran
13. Carlsen vs L M Hansen;;0-1;27;1999;Skei Grand Prix Group B;D02 Queen's Pawn Game
14. O Hansen vs Carlsen;;½-½;41;1999;Skei Grand Prix Group B;A45 Queen's Pawn Game
15. E Flotten vs Carlsen;;0-1;51;2000;Arnold Grand Prix;B22 Sicilian, Alapin
16. H Carlsen vs Carlsen;;1-0;43;2000;Arnold Grand Prix;E12 Queen's Indian
17. Carlsen vs J H Ytteborg;;0-1;59;2000;Arnold Grand Prix;A40 Queen's Pawn Game
18. Carlsen vs Paula Rause;;1-0;60;2000;Arnold Grand Prix;C62 Ruy Lopez, Old Steinitz Defense
19. Carlsen vs O Normann;;0-1;53;2000;NTG Grand Prix Group B;D18 Queen's Gambit Declined Slav, Dutch
20. P Brantzeg vs Carlsen;;1-0;60;2000;NTG Grand Prix Group B;A06 Reti Opening
21. Carlsen vs T Jacobsen;;1-0;34;2000;NTG Grand Prix Group B;D02 Queen's Pawn Game
22. Carlsen vs Jo Vederhus;;1-0;56;2000;NTG Grand Prix Group B;A46 Queen's Pawn Game
23. Carlsen vs J Svindahl;;0-1;42;2000;XXXI Open NOR Championship;A36 English
24. T T Pham vs Carlsen;;1-0;32;2000;XXXI Open NOR Championship;B72 Sicilian, Dragon
25. Carlsen vs T Solstad;;½-½;21;2000;XXXI Open NOR Championship;E04 Catalan, Open, 5.Nf3
Game;;Result;Moves;Year;Event/Locale;Opening
26. T Christenson vs Carlsen;;0-1;46;2000;XXXI Open NOR Championship;B72 Sicilian, Dragon
27. M Svendsen vs Carlsen;;1-0;39;2000;XXXI Open NOR Championship;C02 French, Advance
28. K Ovesen vs Carlsen;;1-0;38;2000;XXXI Open NOR Championship;A46 Queen's Pawn Game
29. Carlsen vs H Sannes;;1-0;60;2000;XXXI Open NOR Championship;A27 English, Three Knights System
30. Carlsen vs T R Nielsen;;0-1;45;2000;XXXI Open NOR Championship;A10 English
31. A J Pettersen vs Carlsen;;½-½;36;2000;ASKO Pinse Tournament Group B;B73 Sicilian, Dragon, Classical
32. Carlsen vs A Sem-Johansen;;½-½;32;2000;ASKO Pinse Tournament Group B;C16 French, Winawer
33. R Eknes vs Carlsen;;½-½;30;2000;ASKO Pinse Tournament Group B;B23 Sicilian, Closed
34. S Instefjord vs Carlsen;;1-0;25;2000;ASKO Pinse Tournament Group B;B78 Sicilian, Dragon, Yugoslav Attack, 10.castle long
35. Carlsen vs P Brantzeg;;0-1;52;2000;ASKO Pinse Tournament Group B;C18 French, Winawer
36. J M Andersen vs Carlsen;;0-1;30;2000;NOR Championship Group Miniputt;B50 Sicilian
37. Carlsen vs Jostein Thorsen;;1-0;20;2000;NOR Championship Group Miniputt;D20 Queen's Gambit Accepted
38. Haakon Oksnevad vs Carlsen;;½-½;28;2000;NOR Championship Group Miniputt;A48 King's Indian
39. Carlsen vs S Randjelovic;;1-0;55;2000;NOR Championship Group Miniputt;A10 English
40. A Boyum Fossum vs Carlsen;;½-½;25;2000;NOR Championship Group Miniputt;A01 Nimzovich-Larsen Attack
41. Carlsen vs J Kvisla;;1-0;27;2000;NOR Championship Group Miniputt;E91 King's Indian
42. Carlsen vs Adrian Becher;;1-0;40;2000;NOR Championship Group Miniputt;A16 English
43. Helge Selle vs Carlsen;;0-1;39;2000;NOR Championship Group Miniputt;B50 Sicilian
44. Carlsen vs Audun Brekke Flotten;;1-0;45;2000;NOR Championship Group Miniputt;A30 English, Symmetrical
45. I Edvardsen vs Carlsen;;0-1;21;2000;NOR Championship Group Miniputt;A22 English
46. Eldbjorg Blikra Vea vs Carlsen;;0-1;33;2000;NOR Championship Group Miniputt;A00 Uncommon Opening
47. A Brasoy vs Carlsen;;1-0;34;2000;Peer Gynt Open;B23 Sicilian, Closed
48. Carlsen vs J Carlstedt;;1-0;28;2000;Peer Gynt Open;C40 King's Knight Opening
49. T Christenson vs Carlsen;;0-1;29;2000;Peer Gynt Open;B84 Sicilian, Scheveningen
50. Carlsen vs T Bryn;;0-1;41;2000;Peer Gynt Open;A16 English
Game;;Result;Moves;Year;Event/Locale;Opening
51. Carlsen vs Lasse Aass;;0-1;45;2000;Peer Gynt Open;E75 King's Indian, Averbakh, Main line
52. Reidar Kristiansen vs Carlsen;;½-½;38;2000;Peer Gynt Open;B73 Sicilian, Dragon, Classical
53. Carlsen vs Tor Gran Nilssen;;1-0;23;2000;Peer Gynt Open;D58 Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) Syst
54. Sverre Solum vs Carlsen;;0-1;29;2000;Nordstrand Grand Prix Group B;A07 King's Indian Attack
55. Carlsen vs I A Abusdal;;1-0;15;2000;Nordstrand Grand Prix Group B;B06 Robatsch
56. Steinar Haugen vs Carlsen;;0-1;56;2000;Nordstrand Grand Prix Group B;A02 Bird's Opening
57. T T Pham vs Carlsen;;1-0;33;2000;Nordstrand Grand Prix Group B;B87 Sicilian, Fischer-Sozin with ...a6 and ...b5
58. Carlsen vs Lasse Lie;;1-0;42;2000;Nordstrand Grand Prix Group B;A05 Reti Opening
59. Carlsen vs Finn Syvertsen;;1-0;47;2000;Asker SK Club Tournament Group A;D46 Queen's Gambit Declined Semi-Slav
60. Eiler Holtermann vs Carlsen;;½-½;19;2000;Asker SK Club Tournament Group A;A46 Queen's Pawn Game
61. Carlsen vs R Fesche;;1-0;26;2000;Asker SK Club Tournament Group A;B30 Sicilian
62. Carlsen vs G Tallaksen Ostmoe;;½-½;40;2000;NOR Junior Team Championship;E10 Queen's Pawn Game
63. Carlsen vs S Sending;;½-½;24;2000;NOR Junior Team Championship;E90 King's Indian
64. Erik Eikeland vs Carlsen;;0-1;24;2000;NOR Junior Team Championship;B54 Sicilian
65. Carlsen vs S Bjerke;;½-½;25;2000;NOR Junior Team Championship;D00 Queen's Pawn Game
66. Carlsen vs Martin Wold Lund;;1-0;30;2000;NOR Junior Team Championship;E70 King's Indian
67. Eivind Lilleseth vs Carlsen;;½-½;45;2000;Asker SK Club Tournament Group A;A02 Bird's Opening
68. Carlsen vs Mikhail Lilleoren;;1-0;27;2000;Stjernen Grand Prix Group A;E90 King's Indian
69. E Dalsrud vs Carlsen;;1-0;23;2000;Stjernen Grand Prix Group A;B87 Sicilian, Fischer-Sozin with ...a6 and ...b5
70. A Flaata vs Carlsen;;1-0;24;2000;Stjernen Grand Prix Group A;A07 King's Indian Attack
71. Carlsen vs Terje Nilsen;;1-0;37;2000;Stjernen Grand Prix Group A;E11 Bogo-Indian Defense
72. R Flaten vs Carlsen;;½-½;34;2000;Stjernen Grand Prix Group A;B50 Sicilian
73. K Gschwendtner vs Carlsen;;0-1;35;2000;IV Offene Bayerische Meisterschaft;C47 Four Knights
74. Carlsen vs I Cordts;;0-1;30;2000;IV Offene Bayerische Meisterschaft;A31 English, Symmetrical, Benoni Formation
75. G Kaiser vs Carlsen;;0-1;36;2000;IV Offene Bayerische Meisterschaft;B08 Pirc, Classical
Game;;Result;Moves;Year;Event/Locale;Opening
76. Carlsen vs L Olzem;;½-½;36;2000;IV Offene Bayerische Meisterschaft;D00 Queen's Pawn Game
77. H Bartels vs Carlsen;;½-½;48;2000;IV Offene Bayerische Meisterschaft;C59 Two Knights
78. Carlsen vs Hagen Oettinger;;0-1;29;2000;IV Offene Bayerische Meisterschaft;B04 Alekhine's Defense, Modern
79. M Albert vs Carlsen;;½-½;42;2000;IV Offene Bayerische Meisterschaft;C22 Center Game
80. Carlsen vs J Wengler;;0-1;36;2000;IV Offene Bayerische Meisterschaft;D03 Torre Attack (Tartakower Variation)
81. M Kemmler vs Carlsen;;0-1;43;2000;IV Offene Bayerische Meisterschaft;C55 Two Knights Defense
82. Tor Henriksen vs Carlsen;;1-0;27;2000;Ostlandsserien 2A (TCh-NOR Qual);E97 King's Indian
83. Petter Lund vs Carlsen;;0-1;47;2000;Asker SK Club Tournament Group A;A67 Benoni, Taimanov Variation
84. Rolf Christiansen vs Carlsen;;½-½;44;2000;Asker SK Club Tournament Group A;C42 Petrov Defense
85. Carlsen vs K Knudsen;;1-0;7;2000;Norwegian Youth Ch Group E;C40 King's Knight Opening
86. Audun Brekke Flotten vs Carlsen;;0-1;28;2000;Norwegian Youth Ch Group E;A32 English, Symmetrical Variation
87. Carlsen vs Odin Rustad;;1-0;25;2000;Norwegian Youth Ch Group E;C70 Ruy Lopez
88. Carlsen vs Helge Selle;;1-0;39;2000;Norwegian Youth Ch Group E;C64 Ruy Lopez, Classical
89. Erling Engh vs Carlsen;;0-1;26;2000;Norwegian Youth Ch Group E;B22 Sicilian, Alapin
90. Carlsen vs J M Andersen;;1-0;25;2000;Norwegian Youth Ch Group E;C65 Ruy Lopez, Berlin Defense
91. J L Hammer vs Carlsen;;1-0;29;2000;Norwegian Youth Ch Group E;A10 English
92. Carlsen vs H Furnes;;0-1;51;2000;Ostlandsserien 2A (TCh-NOR Qual);D67 Queen's Gambit Declined, Orthodox Defense, Bd3 line
93. Carlsen vs Ole-Jakob Holler;;1-0;23;2000;Asker SK Club Tournament Group A;C00 French Defense
94. Carlsen vs Joshua Paul Schmidt;;1-0;25;2000;Baerum BGP Group Kadett;C61 Ruy Lopez, Bird's Defense
95. Carlsen vs C F Ekeberg;;½-½;18;2000;Baerum BGP Group Kadett;B33 Sicilian
96. R Edvardsen vs Carlsen;;½-½;23;2001;Troll Masters;D12 Queen's Gambit Declined Slav
97. Carlsen vs A F Brameld;;0-1;35;2001;Troll Masters;B05 Alekhine's Defense, Modern
98. Carlsen vs G Fant;;1-0;28;2001;Troll Masters;C16 French, Winawer
99. G Tallaksen Ostmoe vs Carlsen;;½-½;30;2001;Troll Masters;D35 Queen's Gambit Declined
100. Carlsen vs J A Nilssen;;0-1;22;2001;Troll Masters;B32 Sicilian
Game;;Result;Moves;Year;Event/Locale;Opening
101. C Grubert vs Carlsen;;1-0;24;2001;Troll Masters;C42 Petrov Defense
