Game;;Result;Moves;Year;Event/Locale;Opening
1. E Lazarev vs Karpov;;0-1;49;1961;Cheliabinsk;D55 Queen's Gambit Declined
2. Karpov vs V Kalashnikov;;1-0;60;1961;Zlatoust;C68 Ruy Lopez, Exchange
3. A Shneider vs Karpov;;0-1;51;1961;Cheliabinsk;C34 King's Gambit Accepted
4. Karpov vs Nedelin;;1-0;36;1961;RUS-ch Juniors;C97 Ruy Lopez, Closed, Chigorin
5. Karpov vs Budakov;;½-½;26;1961;Zlatoust;C99 Ruy Lopez, Closed, Chigorin, 12...cd
6. Zadneprovsky vs Karpov;;0-1;65;1961;Zlatoust;E27 Nimzo-Indian, Samisch Variation
7. Shusharin vs Karpov;;0-1;35;1961;Cheliabinsk;C77 Ruy Lopez
8. Tarinin vs Karpov;;1-0;35;1961;Zlatoust;C97 Ruy Lopez, Closed, Chigorin
9. Karpov vs Maksimov;;1-0;60;1961;Magnitogorsk;E81 King's Indian, Samisch
10. V Kalashnikov vs Karpov;;½-½;62;1961;Zlatoust;E15 Queen's Indian
11. Karpov vs S Belousov;;1-0;40;1961;Borovichi;C07 French, Tarrasch
12. B Kalinkin vs Karpov;;½-½;32;1961;Cheliabinsk;C97 Ruy Lopez, Closed, Chigorin
13. Karpov vs Gaimaletdinov;;1-0;60;1961;Zlatoust;C62 Ruy Lopez, Old Steinitz Defense
14. Karpov vs Mukhudulin;;½-½;61;1961;Zlatoust;B56 Sicilian
15. Karpov vs Shefler;;1-0;43;1961;Zlatoust;C01 French, Exchange
16. Larinin vs Karpov;;1-0;35;1961;Zlatoust;C97 Ruy Lopez, Closed, Chigorin
17. Timoscenko vs Karpov;;0-1;53;1961;RUS-ch Juniors;C10 French
18. Karpov vs Ziuliarkin;;1-0;35;1961;Zlatoust;A07 King's Indian Attack
19. Korchnoi vs Karpov;;½-½;30;1961;Simul;C45 Scotch Game
20. Aranov vs Karpov;;0-1;71;1962;Cheliabinsk;C10 French
21. Karpov vs Piskunov;;1-0;35;1962;Zlatoust;B03 Alekhine's Defense
22. Karpov vs Karin;;1-0;39;1962;Cheliabinsk;B06 Robatsch
23. V Kalashnikov vs Karpov;;½-½;36;1962;Zlatoust;C97 Ruy Lopez, Closed, Chigorin
24. Kolishkin vs Karpov;;½-½;39;1962;Cheliabinsk;C86 Ruy Lopez, Worrall Attack
25. Karpov vs Tarinin;;1-0;53;1962;Cheliabinsk;C73 Ruy Lopez, Modern Steinitz Defense
Game;;Result;Moves;Year;Event/Locale;Opening
26. V Kirillov vs Karpov;;0-1;63;1962;Zlatoust;A20 English
27. Ziuliarkin vs Karpov;;0-1;35;1962;Zlatoust;C50 Giuoco Piano
28. Aranov vs Karpov;;0-1;71;1962;Cheliabinsk;C10 French
29. V Kalashnikov vs Karpov;;½-½;36;1962;Zlatoust;C97 Ruy Lopez, Closed, Chigorin
30. Karpov vs Alekseev;;½-½;58;1962;Zlatoust;B40 Sicilian
31. Ziuliarkin vs Karpov;;0-1;51;1963;Zlatoust;D61 Queen's Gambit Declined, Orthodox, Rubinstein Attack
32. V Kalashnikov vs Karpov;;0-1;42;1963;Zlatoust;C44 King's Pawn Game
33. Korotaev vs Karpov;;0-1;42;1963;Zlatoust;D35 Queen's Gambit Declined
34. Karpov vs Botvinnik;;½-½;42;1964;Moscow clock simul;B15 Caro-Kann
